Name,IP Address,Data Classification,Type / User,Purpose,DNS Name,PowerStatus_CVI_25
ilas1ftp01.isftp2,192.168.101.98,Cutomer Confidential Internal,,,,Not Found
SFTP and NOTEZ,192.168.101.99,Cutomer Confidential Internal,,,isftp1.infowerks.com,Powered Off
ilas1wagsftp01.WalgreensFTPServer,192.168.199.22,Customer Confidential External,,,ilas1wagsftp01,Powered On
ilas1wagsVM1.199.88,192.168.199.30,Customer Confidential External,,,ilas1wagsvm1,Not Found
ilas1wagsvm3.vm35199.31,192.168.199.31,Customer Confidential External,,,,Powered On
ilas1wagsimg01,192.168.199.40,Customer Confidential External,,,ILAS1WAGSIMG01.infowerks.com,Not Found
ilas1PGDB02a.SECPGDA,192.168.199.71,Customer Confidential External,,,ilas1PGDB02a,Not Found
ilas1PGDB02b.SECPGDB,192.168.199.72,Customer Confidential External,,,ilas1pgdb02b,Not Found
ilas1wagsfe01.199.74,192.168.199.74,Customer Confidential External,,,ilas1wagsfe01,Not Found
ilas1wagsas01.199.75,192.168.199.75,Customer Confidential External,,,ilas1wagsas01,Not Found
ilas1wagsas02.199.76,192.168.199.76,Customer Confidential External,,,ilas1wagsas02,Not Found
ilas1wagsfe02.199.78,192.168.199.78,Customer Confidential External,,,ilas1wagsfe02,Not Found
ilas1wagsdb03.199.79,192.168.199.79,Customer Confidential External,,,ilas1wagsdb03,Powered On
ilas1wagsas03.199.89,192.168.199.89,Customer Confidential External,,,ilas1wagsas03,Not Found
ilas1as27.101.151,,Cutomer Confidential Internal,,,ilas1as27,Not Found
ilas1wagftp02.linux,,Customer Confidential External,,,,Powered On
ilas1wagsdb02.db2.199.30,192.168.199.30,Customer Confidential External,,,ilas1wagsdb02,Powered On
ilas2vm06,,Customer Confidential External,,,,Not Found
ilas2vm1gen01.vmsite2,,Cutomer Confidential Internal,,,,Not Found
